Restaurant,Category,Neighborhood,Address,Phone Number,Rating
Caribbean,Boukan,Upper Beaches,452 Kingston Rd,416.686.1880,5.00
Caribbean,Scarlet Ibis,Scarborough,Not Found,Not Found,4.50
Caribbean,The Palms Jerk & Grill,Stockyards District,2419 St Clair Ave W,416.767.6749,5.00
Caribbean,SugarKane,Danforth,699 Danforth Avenue,416.469.0808,4.88
Caribbean,Allwyn's Bakery on Queen,Queen West,404 Queen St. W.,Not Found,4.43
Caribbean,Maracas,Kensington Market,Not Found,Not Found,2.71
Caribbean,Nicey's Eatery,Scarborough,2290 Markham Rd,416.321.9991,4.20
Caribbean,Tropical Joe's,Leslieville,1000 Gerrard St. E.,416.461.5030,4.67
Caribbean,Golden Krust Toronto,North York,1700 Wilson Avenue,647.358.5423,-
Caribbean,Scotty Bons,Scarborough,789 Warden Ave,416.752.7222,4.56
Caribbean,Aunt Elsie's Caribbean Kitchen,Scarborough,2689 Eglinton Ave E,416.261.0250,5.00
Caribbean,Chubby's Jamaican Kitchen,King West,104 Portland Street,416.792.8105,4.46
Caribbean,Randy's Roti,Yonge & Bloor,876 Yonge Street,416.454.4785,3.50
Caribbean,Jerk Paradise,Regent Park,"296A Gerrard St E,",416.901.5060,5.00
Caribbean,Golden Patty,Kensington Market,187 Baldwin St,416.977.3191,4.33
Caribbean,Taste Seduction,Junction,399 Keele St,416.763.8763,5.00
Caribbean,Roywoods,CityPlace,121 Fort York Blvd,416.631.7574,4.83
Caribbean,Rasta Pasta,Kensington Market,61 Kensington Avenue,647.501.4505,4.40
Caribbean,Allwyn's Bakery,Don Mills,81 Underhill Drive,647.847.4698,4.21
Caribbean,The Real Jerk (Kingston Rd.),Upper Beaches,1004 Kingston Rd.,(416.690.8752,3.33
Caribbean,Simone's,Danforth,Not Found,Not Found,4.33
Caribbean,Chris Jerk,Scarborough,2570 Birchmount Road,416.297.5375,3.91
Caribbean,Patties Express,Yonge & Dundas,4 Elm St.,647.350.0111,3.88
Caribbean,Rhum Corner,Dundas West,926 Dundas St. W,647.346.9356,4.00
Caribbean,Irie Veggie,Keelesdale,2593 Eglinton Ave West,416.653.4825,5.00
Caribbean,Randy's,Oakwood Village,1569 Eglinton Ave W,416.781.5313,4.13
Caribbean,Mr. Jerk,St. James Town,209 Wellesley Street East,416.961.8913,-
Caribbean,Albert's Real Jamaican,St. Clair West,542 St. Clair Avenue West,416.658.9445,3.67
Caribbean,Allan's Pastry Shop,Scarborough,3447 Kennedy Rd,416.292.3909,4.33
Caribbean,Caribbean Queen of Patties,Bloordale Village,1294 Bloor St West,416.538.1732,3.80
Caribbean,Jerk King Bloorcourt,Bloorcourt,1104 Bloor St. West,416.531.0300,4.50
Caribbean,Ritz Caribbean (Yonge and Shuter),Yonge & Dundas,211 Yonge St.,647.351.7489,4.00
Caribbean,Mitzie's Jerk,Etobicoke,3337 Bloor Street W.,647.345.0077,5.00
Caribbean,Caribbean Dutchpot,Danforth,749 Broadview Avenue,416.465.7779,-
Caribbean,The Real Jerk (Gerrard St.),Leslieville,842 Gerrard St. E,416.463.6055,4.11
Caribbean,Caribbean Wave,Scarborough,875 Milner Ave,416.286.9283,5.00
Chinese,Noodle Me,Bloor West Village,2422 Bloor St W.,416.766.3773,4.67
Chinese,East Court & Mike's BBQ,Scarborough,4400 Sheppard Ave E.,416.609.2388,4.50
Chinese,Yang's Chinese Cuisine,Thornhill,"8432 Leslie St., Unit 110",905.881.9808,4.00
Chinese,Yin Ji Chang Fen Chinatown,Chinatown,369 Spadina Ave,416.585.7888,4.33
Chinese,Garden Hong Kong Cafe,Markham,"28 South Unionville Ave #1035, Markham",905.604.3863,3.75
Chinese,Wonton Kitchen,Yonge & Wellesley,29B St. Joseph St.,416.964.9999,5.00
Chinese,Mabu Generation Downtown,Yonge & Wellesley,578 Yonge Street,416.901.8183,5.00
Chinese,Bone Soup Malatang,Yonge & Wellesley,522 Yonge St.,647.340.2112,3.00
Chinese,Ten Miles BBQ,Chinatown,"359 Spadina Ave, Toronto, ON",416.593.6265,4.68
Chinese,Mogouyan Hand-Pulled Noodles,Yonge & Bloor,760 Yonge St,416.890.1296,3.00
Chinese,Yang's Braised Chicken,Markham,7080 Warden Ave.,905.604.6808,4.00
Chinese,Jian Bing Club,Richmond Hill,370 Highway 7 #101C,905.597.9308,4.62
Chinese,816 Cuisine,Thornhill,180 Steeles Ave. West,905.731.1816,4.67
Chinese,MacaoDoulao,Richmond Hill,550 Highway 7 Unit 280,905.597.2226,4.67
Chinese,Hotopia,Yonge & College,45 Carlton St.,416.977.8668,3.33
Chinese,Chat Bar,North York,5312 Yonge St.,647.508.5588,-
Chinese,Dasha,King West,620 King St. W,416.601.0662,4.33
Chinese,Long Time No See,Chinatown,421 Dundas St. West.,Not Found,4.00
Chinese,Chi Dim Sum,Yonge & Eglinton,2425 Yonge St.,416.483.1812,5.00
Chinese,Lobster Port No. 1,Richmond Hill,Not Found,Not Found,3.75
Chinese,Artisan Plus,Little Tokyo,122 Dundas St W,416.599.3189,4.40
Chinese,Bauzza Bauzza,Little Italy,298 College St,647.347.8298,4.00
Chinese,Green Tea Restaurant Toronto,Chinatown,261 Spadina Ave.,416.519.1073,-
Chinese,DaLongYi,Richmond Hill,"350 Hwy 7, Unit #105",289.597.5666,-
Chinese,Hutaoli Music Restaurant & Bar,Markham,3760 Hwy 7 #Unit 1,365.608.5333,-
Chinese,Shi Miaodao Toronto,Chinatown,318 Spadina Ave,416.792.8628,4.83
Chinese,The Daily Dumpling Wonton Co.,Little Italy,792 College Street,647.991.6704,3.53
Chinese,Rosewood Chinese Cuisine,Chinatown,463 Dundas St. West,416.593.9998,3.63
Chinese,Niuda Noodles,Queen West,204 Queen St W,416.599.6666,3.63
Chinese,Sam's Congee Delight,Markham,7354 Woodbine Ave.,905.479.1074,4.50
Chinese,HuaJia Rice Noodle,Annex,487 Bloor St. West,416.975.9986,3.00
Chinese,Four Four South Village,Yonge & College,474 Yonge Street,416.413.9802,4.20
Chinese,Juicy Dumpling,Chinatown,280 Spadina Ave.,647.352.5678,4.41
Chinese,Coconut Seasons,Scarborough,668 Silver Star Blvd #203,647.633.8856,3.20
Chinese,Hey Noodles,Chinatown,478 Dundas Street W.,647.352.8999,5.00
Chinese,Greedy Duck,Little Italy,316 College St.,647.748.0168,-
Chinese,Yueh Tung,Little Tokyo,111 Elizabeth Street,416.977.0933,4.00
Chinese,Omni Palace,North York,"235 Consumers Rd E1, Toronto",416.493.0080,4.13
Chinese,Sang-Ji Fried Bao,North York,1 Byng Ave,647.346.9199,4.78
Chinese,GoGo Chicken Pot,Richmond Hill,10610 Bayview Avenue,905.737.1628,3.60
Creole,Southern Accent,Little Italy,839 College St,416.901.3211,4.00
Crepes,Crazy Crepes,Yonge & College,366 Church St,416.596.8388,4.00
Crepes,Phyllo Cafe,Pape Village,1028 Pape Ave.,416.901.8877,4.75
Crepes,Crepe TO,King East,52 Church Street M5C 3C8,647.352.5286,5.00
Crepes,Cacao 70 Toronto,Distillery District,28 Gristmill Lane,416.216.8686,4.50
Crepes,Millie Creperie,Kensington Market,161 Baldwin St.,416.977.1922,4.33
Crepes,Crepes a GoGo,Annex,750 Spadina Avenue,416.922.6765,4.00
Crepes,Krepesz European Palacsinta Cafe,Kensington Market,253 Augusta Ave,416.840.8930,4.50
Crepes,Art Square Cafe,Baldwin Village,334 Dundas St West,416.595.5222,4.00
Crepes,t-buds,Yonge & Lawrence,3343 Yonge St,647.352.3624,-
Crepes,Crepe It Up,St. Lawrence Market,St. Lawrence Market (Lower Level),416.913.1737 ,3.25
Crepes,Pastel,North York,5417 Yonge Street,647.352.5588,4.67
Crepes,Muncheez Creperie,North York,"7181 Yonge St, Thornhill",416.788.9999,5.00
Crepes,Spot Crepes & Tea,Chinatown,385 Spadina Ave,647.345.8018,4.00
Crepes,Cacao 70 (Queen West),Queen West,485 Queen Street West,647.345.5288,-
Crepes,Cacao 70 Scarborough,Scarborough,300 Borough Dr,647.350.7881,5.00
Crepes,T-Swirl Crepe (Yonge),Yonge & Wellesley,510 Yonge St,647.341.0088,4.50
Crepes,Sandwich & Crepe,Keelesdale,68 Industry St.,416.763.1420,5.00
Cuban,El Habanero & Churrobar,Scarborough,4915 Steeles Ave East,416.293.6066,4.00
Cuban,Mambo Lounge,Danforth,120 Danforth Ave.,416.778.7004,5.00
Deli,Rock'N Deli,Don Mills,32 Clock Tower Rd,416.792.3354,2.90
Deli,SumiLicious,Scarborough,5631 Steeles Ave E,647.347.8899,4.71
Deli,Dunn's Famous Express,Danforth East,1779 Danforth Ave.,647.748.5088,3.60
Deli,United Bakers Dairy,North York,506 Lawrence Ave West,416.789.0519,4.00
Deli,Centre Street Deli,Thornhill,1136 Centre Street,905.731.8037,4.18
Deli,Pancer's Original Deli,North York,3856 Bathurst St.,416.636.1230,3.00
Deli,Wolfie's Deli,North York,670 Sheppard Ave. W,416.638.9653,5.00
Deli,Zelden's Deli,Yonge & St. Clair,1446 Yonge St,647.347.3474,5.00
Deli,New Yorker Deli,Yonge & Bloor,1140 Bay St.,416.923.3354,4.00
Deli,St. Jamestown Delicatessen,Cabbagetown,518 Parliament St.,416.925.7665,4.00
Deli,Pancer's Deli,Vaughan,9960 Dufferin Street Vaughan,905.417.1719,4.00
Deli,Caplansky's Deli (Pearson),Mississauga,6301 Silver Dart Drive,416.500.3852,1.00
Deli,Mercator,Scarborough,2046 Sheppard Ave E,416.916.4066,-
Deli,Big Al's Delish,North York,3325 Bathurst Street,647.258.3354,-
Deli,Steeles Deli Restaurant,North York,180 Steeles Avenue West,905.881.8366,-
Diner,Flo's Diner,Yorkville,70 Yorkville Ave,416.961.4333,3.10
Diner,The Amazing Ted's Diner,Scarborough,404 Old Kingston Rd.,416.282.2204,3.50
Diner,Avenue Open Kitchen,Queen West,7 Camden Street,416.504.7131,3.88
Diner,George Street Diner,King East,129 George St.,416.862.7676,3.85
Diner,Gingerman Restaurant,Scarborough,1104 Victoria Park,416.757.5005,4.25
Diner,Lakeview Restaurant,Dundas West,1132 Dundas St. West,416.850.8886,3.64
Diner,Donlands Diner,East York,417 Donlands Avenue East,416.421.8500,3.86
Diner,White Lily Diner,Riverside,678 Queen St E,416.901.7800,4.50
Diner,Skyline Restaurant,Parkdale,1426 Queen St W,416.536.3682,4.67
Diner,Mars Food,Little Italy,432 College St.,416.921.6332,2.80
Diner,The Senator,Yonge & Dundas,249 Victoria St,416.364.7517,3.13
Diner,Times Square Diner,North York,531 Wilson Heights Bl,416.630.7696,2.71
Diner,Uncle Betty's Diner,Yonge & Eglinton,2590 Yonge Street,416.483.2590,3.00
Diner,Chew Chew's Diner,Cabbagetown,186 Carlton St.,416.924.7583,4.38
Diner,Gale's Snack Bar,Leslieville,539 Eastern Avenue,Not Found,4.75
Diner,Vesta Lunch,Annex,474 Dupont Street,416.537.4318,3.25
Diner,The Markham Station,Scarborough,5117 Sheppard Avenue,416.299.4141,4.00
Diner,Zet's Restaurant,Mississauga,6445 Airport Road,905.678.1114,3.94
Diner,UFO Restaurant,West Queen West,241 Niagara Street,416.703.0883,4.67
Diner,Rosedale Diner,Rosedale,1164 Yonge Street,416.923.3122,3.86
Diner,Patrician Grill,King East,219 King St. East,416.366.4841,3.75
Diner,Coach House Restaurant,Yonge & Wellesley,574 Yonge Street,416.922.5551,4.00
Diner,The Grille,Etobicoke,Not Found,Not Found,3.60
Diner,Good Bite,Yonge & Eglinton,2463 Yonge Street,416.483.8432,3.75
Diner,Fran's Diner (Front St.),Financial District,33 Yonge St.,647.352.3300,2.67
Diner,Mars Uptown,Yonge & Eglinton,2363 Yonge St,416.322.7111,3.67
Diner,Route 401 Diner,Etobicoke,2 Ronson Dr.,416.247.7836,-
Diner,Bloor Jane Restaurant,Bloor West Village,2434 Bloor Street West,416.766.5383,4.00
Diner,Frans Restaurant (Victoria St.),Yonge & Dundas,200 Victoria St.,416.304.0085,3.80
Diner,Johnny G's,Cabbagetown,478 Parliament Street,416.928.1358,3.38
Diner,Magic Spot,Etobicoke,2973 Bloor Street West,416.233.4244,4.43
Diner,Dundas Street Grille,Etobicoke,5238 Dundas St W,416.239.6244,3.20
Diner,Avenue Diner,Yorkville,222 Davenport Rd,416.924.5191,2.67
Diner,Honey B Hives,Scarborough,2816 Markham Road,416.292.6499,5.00
Diner,Galaxie Diner,Woodbridge,4401 Regional Road 7,905.264.7244,3.33
Diner,Hazel's Diner,Yonge & Lawrence,3401 Yonge St.,416.850.0121,4.33
Diner,Apollo Eleven Restaurant,Annex,1093 Bathurst St.,416.532.5675,4.00
Diner,P&M Restaurant,North York,1972 Weston Rd.,416.241.3838,4.33
Diner,The Originals Dining Lounge,Parkdale,160 Springhurst Ave,416.532.2908,4.50
Diner,King's Diner,Upper Beaches,906 Kingston Road,647.349.3016,4.00
Eclectic,Ruby Soho,King West,587 King St. West,416.901.7829,5.00
Eclectic,Market 707,Dundas West,707 Dundas St W,416.392.0335,4.80
Eclectic,Soul Provisions,Oakwood Village,571 Vaughan Rd,647.654.5065,4.75
Eclectic,Wild Chicory,Mount Pleasant,525 Mount Pleasant Road,416.519.3758,4.67
Eclectic,Holt's Cafe Toronto,Yorkville,50 Bloor Street West,416.922.2333,3.86
